0,1,2
156.sp.spcdntip.com,-1.0,-1.0
galaxy.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img39.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
mobubt-oysyn.ctrip.com.cnc.oy.ctripgslb.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
451.sp.spcdntip.com,-1.0,-1.0
base.ctrip.com.jq.cnc.ctripgslb.com,-1.0,-1.0
ctslb-jq-bgp-cnc.ctripgslb.com,-1.0,-1.0
img3m2.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
bc.gsvc.dns02.gosuncdn.com,1.0,-1.0
sec-m.ctrip.com.ctripgslb.com,-1.0,-1.0
342549.stage.tcdnvod.com,-1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
mobubt-oysyn.ctrip.com.cnc.jq.ctripgslb.com,-1.0,-1.0
img01.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
sg-tx-stage.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img3m2.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
m-120ask-com.mipcdn.com,-1.0,-1.0
p2paudio.ctrip.com.oy.ctripgslb.com,-1.0,-1.0
204.sp.spcdntip.com,-1.0,-1.0
3g-163-com.mipcdn.com,-1.0,-1.0
361737.sp.spcdntip.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,1.0,-1.0
www.08kan.com.sp.spcdntip.com,-1.0,-1.0
tx.acgvideo.com.v3.tcdnvod.com,-1.0,-1.0
5.sp.spcdntip.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
mip-qiushibaike-com.mipcdn.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img60.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
v11-xg.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
img-llnw-500.xvideos-cdn.com,-1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
img7x0.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
baidu.lc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
qcloud.rrmj.tv.stage.tcdnvod.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
142.sp.spcdntip.com,-1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
img-llnw-074.xvideos-cdn.com,-1.0,-1.0
img3x0.ddimg.cn.xdy-cdn.cn,1.0,-1.0
m-southmoney-com.mipcdn.com,-1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,-1.0
apd-1uc3pkf.v.smtcdns.com,-1.0,-1.0
img32.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
639.sp.spcdntip.com,-1.0,-1.0
img3m0.ddimg.cn.xdy-cdn.cn,1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
g039-02-s1-1-24k.greycdn.net,-1.0,-1.0
image.sp.spcdntip.com,1.0,-1.0
media1.ddimg.cn.xdy-cdn.cn,1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
k.avatar.u17i.com.gosuncdn.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
apd-uctgoc.v.smtcdns.com,1.0,-1.0
img7x6.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
381.sp.spcdntip.com,-1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
img2.ctfhoko.com.mccdnglb.com,-1.0,-1.0
cdn.sp.spcdntip.com,1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
www.51bnp.com.mccdnglb.com,-1.0,-1.0
mg.bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
297.sp.spcdntip.com,-1.0,-1.0
img3x0.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
198.sp.spcdntip.com,-1.0,-1.0
img3m6.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
img-llnw-109.xvideos-cdn.com,-1.0,1.0
bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
k7.4.591mogu.com.sp.spcdntip.com,-1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
mip-cndzys-com.mipcdn.com,-1.0,-1.0
999.sp.spcdntip.com,-1.0,-1.0
dlweb.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img03.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
622375.stage.tcdnvod.com,-1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
apd-uctgon.v.smtcdns.com,-1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
sg-tx-stage.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
image.mucfc.com.stage.tcdnvod.com,-1.0,-1.0
381.sp.spcdntip.com,-1.0,-1.0
sg-tx-stage.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img7x4.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
3g-163-com.mipcdn.com,-1.0,-1.0
v11-nh.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
mobubt-oysyn.ctrip.com.dr.ctripgslb.com,-1.0,-1.0
538.sp.spcdntip.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
dlweb.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
vodv2.cdn.myqcloud.com.stage.tcdnvod.com,-1.0,-1.0
654420.stage.tcdnvod.com,-1.0,-1.0
apd-2hr2fsf.v.smtcdns.com,-1.0,-1.0
467.sp.spcdntip.com,-1.0,-1.0
991.sp.spcdntip.com,-1.0,-1.0
342555.stage.tcdnvod.com,-1.0,-1.0
ctslb-oy-bgp-tel.ctripgslb.com,-1.0,-1.0
www-360doc-cn.mipcdn.com,-1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
26.sp.spcdntip.com,-1.0,-1.0
img3x4.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
pcvideogs.titan.mgtv.com.gosuncdn.com,-1.0,-1.0
base.ctrip.com.jq.ctripgslb.com,-1.0,-1.0
tx.acgvideo.com.v3.tcdnvod.com,-1.0,-1.0
ctslb-bgp-oy.ctripgslb.com,-1.0,-1.0
330.sp.spcdntip.com,-1.0,-1.0
342550.stage.tcdnvod.com,-1.0,-1.0
img50.ddimg.cn.xdy-cdn.cn,1.0,-1.0
dlweb.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
342549.stage.tcdnvod.com,-1.0,-1.0
apd-uv160h.v.smtcdns.com,-1.0,-1.0
747.sp.spcdntip.com,-1.0,-1.0
ctslb-oy-bgp-cnc.ctripgslb.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
622375.stage.tcdnvod.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
381.sp.spcdntip.com,-1.0,-1.0
mip-shangc-net.mipcdn.com,-1.0,1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
sg-tx-stage.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img3x2.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
img-llnw-143.xvideos-cdn.com,-1.0,1.0
684397.p29.tcdnvod.com,-1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
mg.bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
ctslb-bgp-jq-tel.ctripgslb.com,-1.0,1.0
342554.stage.tcdnvod.com,-1.0,-1.0
467.sp.spcdntip.com,-1.0,-1.0
img-egc.xvideos-cdn.com,1.0,-1.0
ns2.vikinghostcdn.com,1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
www-360doc-cn.mipcdn.com,-1.0,-1.0
dv.spriteapp.cn.cdn.stage.tcdnvod.com,-1.0,-1.0
tx.acgvideo.com.v3.tcdnvod.com,-1.0,-1.0
img01.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img1.ctfhoko.com.mccdnglb.com,-1.0,-1.0
apd-uctgoj.v.smtcdns.com,-1.0,-1.0
k7.1.591mogu.com.sp.spcdntip.com,-1.0,-1.0
37.sp.spcdntip.com,-1.0,-1.0
ctslb-jq-bgp-tel.ctripgslb.com,-1.0,1.0
ptw.youyuan.com.mccdnglb.com,-1.0,-1.0
img7x5.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
547.sp.spcdntip.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
wapask--mip-39-net.mipcdn.com,-1.0,-1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
mobubt-oysyn.ctrip.com.tel.jq.ctripgslb.com,-1.0,-1.0
ctslb-bgp-oy.ctripgslb.com,-1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
m-iask-sina-com-cn.mipcdn.com,-1.0,-1.0
news.cnhubei.com.gosuncdn.com,-1.0,-1.0
p2paudio.ctrip.com.oy.ctripgslb.com,-1.0,-1.0
467.sp.spcdntip.com,-1.0,-1.0
553475.stage.tcdnvod.com,-1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,-1.0
tx.acgvideo.com.v3.tcdnvod.com,-1.0,-1.0
vod2.china.qiniu.stage.tcdnvod.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
803.sp.spcdntip.com,-1.0,-1.0
sg-tx-stage.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
5.sp.spcdntip.com,-1.0,-1.0
kuaishou.p29.tcdnvod.com,1.0,-1.0
v11-hs.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
galaxy.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
cdn.cp43.ott.cibntv.net.mccdnglb.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
k7.1.591mogu.com.sp.spcdntip.com,-1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,1.0
ctslb-jq-bgp-cnc.ctripgslb.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
